subject_heading,frequency
God --  Love --  Early works to 1800.,5
"Gadbury, John, 1627-1704.",5
Philosophy.,5
"Dryden, John, 1631-1700. --  Medall.",5
"Hobbes, Thomas, 1588-1679.",5
Tithes --  England --  Early works to 1800.,5
Freedom of religion --  England --  Early works to 1800.,5
Society of Friends --  Great Britain.,5
Festivals --  England --  London.,5
Fires --  England --  London --  Early works to 1800.,5
Huguenots --  France.,5
Paradise --  Early works to 1800.,5
Papacy.,5
"James, --  Prince of Wales, 1688-1766.",5
Christian union.,5
Plague --  England --  London.,5
Oaths --  England.,5
"Dryden, John, 1631-1700. --  Absalom and Achitophel.",5
Standing army.,5
Acrostics --  Early works to 1800.,5
Roundheads.,5
"Philosophy, Ancient --  Early works to 1800.",5
"Great Britain --  History, Military.",5
"Great Britain --  History --  Charles I, 1625-1649 --  Sources --  Early works to 1800.",5
"Wither, George, 1588-1667.",5
"Elizabeth, --  Queen, consort of Frederick I, King of Bohemia, 1596-1662.",5
"Cookery, English --  Early works to 1800.",5
"Cromwell, Oliver --  1599-1658 --  Early works to 1800.",5
"Lilly, William, 1602-1681.",5
Christian life --  Anglican authors --  Early works to 1800.,5
Catholic Church --  England --  Early works to 1800.,5
France --  History --  17th century --  Early works to 1800.,5
Church of England --  Bishops.,5
Puritans --  England --  Early works to 1800.,5
Christmas --  England --  Early works to 1800.,5
Anti-Catholicism --  Great Britain --  Early works to 1800.,5
"Williams, John, 1582-1650.",5
Eikon basilike.,5
Prayer --  Church of England --  Early works to 1800.,5
Westminster Assembly (1643-1652) --  Early works to 1800.,5
London (England) --  Defenses --  Early works to 1800.,5
Regicides --  England --  Early works to 1800.,5
Suicide --  Early works to 1800.,5
Christian sects --  England --  Controversial literature --  Early works to 1800.,5
Courtship --  Early works to 1800.,5
Brigands and robbers --  England --  Early works to 1800.,5
Act of Uniformity (1662) --  Early works to 1800.,5
Friendship.,5
Spain --  Foreign relations --  Great Britain --  Early works to 1800.,5
