subject_heading,frequency
Jacob --  (Biblical patriarch) --  Early works to 1800.,1
Society of Friends --  England --  Pastoral letters and charges.,1
"Condé, Louis, --  prince de, 1530-1569.",1
Prophesies --  Early works to 1800.,1
"Poyntz, Sydenham.",1
"General Masseys Bartholomew-Fairings for Colonell Poyntz, and the London reformadoes --  Early works to 1800.",1
"Burley, John, d. 1648 --  Trials, litigation, etc. --  Early works to 1800.",1
"Hobson, John, d. 1641.",1
"Fairfax, Thomas Fairfax, --  Baron, 1612-1671 --  Military leadership --  Early works to 1800.",1
"Shaw, Dorothy, d. 1657 --  Early works to 1800.",1
"Shipton, --  Mother --  (Ursula) --  Prophecies.",1
"Bible. --  O.T. --  Kings, 1st I, 39-40 --  Sermons.",1
"Presbyter, John, --  Sir.",1
Joseph --  (Son of Jacob),1
Bible. --  O.T. --  Genesis XXXVII-L --  Paraphrases.,1
Sophocles --  Translations into English --  Early works to 1800.,1
Christian saints --  Prayer-books and devotions --  English --  Early works to 1800.,1
Horticulture and crops --  England --  Early works to 1800.,1
Reformation --  England --  Sources.,1
"Bible. --  N.T. --  Matthew XXIV, 4 --  Sermons.",1
"Emblem books, English --  17th century.",1
Lightning --  England --  Early works to 1800.,1
Cowes (England) --  Early works to 1800.,1
Painting --  Study and teaching --  Early works to 1800.,1
Picture of a coffee-house.,1
Church of England --  Doctrines --  Apologetic works --  Early works to 1800.,1
Anatomical specimens.,1
"Tasso, Torquato, 1544-1595. --  Aminta. --  Translations into English.",1
"Nash, Thomas, 1567-1601 --  (Spirit)",1
Dogs --  Religious aspects --  Christianity --  Early works to 1800.,1
"Wither, George, 1588-1667. --  Campo-musæ --  Early works to 1800.",1
"Nonsense literature, English.",1
Newspapers --  England --  Early works to 1800.,1
Wales --  History --  17th century.,1
"Bible. --  N.T. --  Acts VII, 60 --  Sermons.",1
"Jones, Mehetabell.",1
"Pigeon, Elizabeth.",1
"Goodwin, Wessel.",1
Fraud --  England --  Early works to 1800.,1
Democritus.,1
Anti-Catholicism --  England --  17th century --  Early works to 1800.,1
Virgil. --  Aeneis. --  Liber 6 --  Criticism and interpretation --  Early works to 1800.,1
"Voiture, --  Monsieur de --  (Vincent), 1597-1648.",1
Spiritual life --  Christianity --  Early works to 1800.,1
Great Britain --  Naval operations --  Early works to 1800.,1
Loyalty oaths --  Early works to 1800.,1
Physiology --  Research --  Early works to 1800.,1
England and Wales. --  Parliament. --  House of Commons --  History --  Early works to 1800.,1
"Taylor, John, 1580-1653. --  Swarme of sectaries & schismaticks.",1
"Arundel Castle (West Sussex) --  Siege, 1644 --  Early works to 1800.",1
"Lauderdale, Elizabeth Murray Maitland, --  Duchess of, d. 1697.",1
Winchester (England) --  History --  Early works to 1800.,1
Common law --  England --  Early works to 1800.,1
Dunkerque (France) --  Maps --  Early works to 1800.,1
Bible. --  O.T. --  Psalms CII --  Commentaries --  Early works to 1800.,1
Costume --  Great Britain --  Early works to 1800.,1
Great Britain --  Church history --  17th century --  Early works to 1800,1
"Pharsalus, Battle of, 48 B.C.",1
"Rome --  History --  Civil War, 49-48 B.C.",1
Deadly sins --  Early works to 1800.,1
Alphabet rhymes --  Early works to 1800.,1
Animals --  Abnormalities --  Early works to 1800.,1
"Pius --  V, --  Pope, 1504-1572 --  Early works to 1800.",1
Patriotism --  Great Britain --  Early works to 1800.,1
"Patriotic literature, English --  Early works to 1800.",1
"Norton, Thomas, d. 1570?",1
"Norton, Christopher, d. 1570?",1
Protestants --  Crimes against --  Ireland --  Early works to 1800.,1
"Saffold, Thomas, d. 1691 --  Early works to 1800.",1
"Anderson, Edmund, --  Sir, 1605-1661 --  Death and burial --  Early works to 1800.",1
Royal touch --  Early works to 1800.,1
Church of Scotland --  Sermons --  17th century.,1
Death --  Religious aspects --  Christianity --  Sermons --  Early works to 1800.,1
"Great Britain --  History --  Charles I, 1642-1649 --  Early works to 1800.",1
"Griffin, Lewis. --  Asses complaint against Balaam --  Early works to 1800.",1
"Chamberlain, Robert, b. 1607. --  Balaam's asse cudgeld --  Early works to 1800.",1
Games --  England --  Early works to 1800.,1
Games --  Rules --  Early works to 1800.,1
"Charles --  II, --  King of England, 1630-1685 --  Assassination attempts.",1
Scotland --  History --  15th century --  Early works to 1800.,1
Schools --  England --  Early works to 1800.,1
"Dun, Edward, d. 1663 --  Early works to 1800.",1
"Chamberlain, Richard, b. 1607. --  Balaams asse cudgled --  Early works to 1800.",1
Military art and science --  Soldiers' handbooks --  Early works to 1800.,1
"Beaufés, Jacques.",1
Plague --  England --  London --  Mortality --  Early works to 1800.,1
Mortality --  England --  London --  Early works to 1800.,1
"London (England) --  Statistics, Vital --  Early works to 1800.",1
Netherlands --  Early works to 1800.,1
"Calamy, Edmund, 1600-1666 --  Early works to 1800.",1
Redemption --  Religious aspects --  Christianity --  Early works to 1800.,1
Tales --  Scotland.,1
Scots language --  Early works to 1800.,1
"Bible --  O.T. --  Psalms III --  Paraphrases, English --  Early works to 1800.",1
Fairs --  Scotland --  Early works to 1800.,1
Tides --  Scotland --  Early works to 1800.,1
"Queensberry, William Douglas, --  Duke of, 1637-1695.",1
"Stevenson, Matthew, fl. 1654-1685. --  Quakers wedding, October, 24. 1671 --  Early works to 1800.",1
Shorthand --  Tables --  Early works to 1800.,1
"Lee, Richard, 1611-1684. --  Cor humiliatum et contritum --  Early works to 1800.",1
Prophecy --  Early works to 1800.,1
E. H. --  Mock-elogie on the funeral of Mr. Caryl --  Early works to 1800.,1
"Holmes, Robert, --  Sir, 1622-1692 --  Early works to 1800.",1
"Horsemanship --  Handbooks, manuals, etc. --  Early works to 1800.",1
"Horseshoeing --  Handbooks, manuals, etc. --  Early works to 1800.",1
Singleness --  Early works to 1800.,1
Misogyny --  England --  Early works to 1800.,1
Vaulting (Horsemanship) --  Early works to 1800.,1
Swearing pamphlet.,1
Scotland --  History --  1660-1688 --  Early works to 1800.,1
Rijksuniversiteit te Leiden. --  Anatomisch Kabinet --  Catalogs --  Early works to 1800.,1
Cabinets of curiosities --  Netherlands --  Leiden --  Catalogs --  Early works to 1800.,1
Anatomical specimens --  Catalogs --  Early works to 1800.,1
Courtship in literature --  Early works to 1800.,1
"Beveridge, William, 1637-1708 --  Early works to 1800.",1
"Baillie, William, fl. 1648.",1
"Barton, Andrew, d. 1511 --  Early works to 1800.",1
Drinking customs in literature --  Early works to 1800.,1
Compulsive behavior --  Early works to 1800.,1
"Broad-side against marriage directed to that inconsiderable annimal, called, a husband.",1
"Liddel, Duncan, --  Professor, fl. 1685.",1
"Liddel, George, fl. 1685.",1
"Forbes, John, d. 1704.",1
"Seton, James, fl. 1685.",1
"Langham, James, --  Sir, 1620?-1699.",1
"Reynolds, Jane, --  Mrs. --  Early works to 1800.",1
Parliamentary practice --  Great Britain --  Early works to 1800.,1
Jesus Christ --  Second coming --  Early works to 1800.,1
Reformed Church --  Catechisms --  Early works to 1800.,1
"Burghley, William Cecil, --  Baron, 1520-1598.",1
"Newburn, Battle of, 1640 --  Early works to 1800.",1
"Bible. --  O.T. --  Psalms LXVII, 6 --  Sermons --  Early works to 1800.",1
New Year sermons --  England --  Early works to 1800.,1
Scotland --  Church history --  17th century --  Early works to 1800.,1
Church of Scotland --  Apologetic works --  Early works to 1800.,1
Catholic Church --  Controversial literature --  Anglican authors --  Early works to 1800.,1
Gratitude --  Religious aspects --  Christianity --  Early works to 1800.,1
"Norris of Rycote, Henry Norris, --  Baron, 1525?-1601.",1
Hope --  Religious aspects --  Christianity --  Early works to 1800.,1
Apostles' Creed --  Paraphrases --  Early works to 1800.,1
Lord's Prayer --  Paraphrases --  Early works to 1800.,1
"Coffee --  Anecdotes, facetiae, satire, etc. --  Early works to 1800.",1
"Coffeehouses --  England --  Anecdotes, facetiae, satire, etc. --  Early works to 1800.",1
Providence and government of God --  Sermons --  Early works to 1800.,1
Bartholomew Fair --  History --  Early works to 1800.,1
Alcohol --  Law and legislation --  England --  Early works to 1800.,1
Alcohol --  Taxation --  England --  Early works to 1800.,1
"Herrewyn, James --  Death and burial.",1
Presbyterian Church --  Controversial literature --  Early works to 1800.,1
Church of Ireland --  Clergy --  Early works to 1800.,1
Covenanters --  England --  Controversial literature --  Early works to 1800.,1
Visitation sermons --  England --  Early works to 1800.,1
Epithets --  Early works to 1800.,1
"James, Elinor. --  Vindication of the Church of England.",1
Justification (Christian theology) --  Early works to 1800.,1
"Sixmith, William, 1655 or 6-1677 --  Early works to 1800.",1
Storms --  Atlantic Ocean --  Early works to 1800.,1
"Spanheim, Friedrich, 1632-1701 --  Translations into English --  Early works to 1800.",1
Anglican Communion --  Apologetic works.,1
"Bible --  Study and teaching --  Outlines, syllabi, etc. --  Early works to 1800.",1
Shipwrecks --  Early works to 1800.,1
"Worcester, Elizabeth Somerset, --  Lady, d. 1635.",1
"Curwen, Henry, 1621 or 2-1636.",1
England and Wales. --  Sovereign (1558-1603:Elizabeth I) --  Early works to 1800.,1
"Great Britain --  History --  Elizabeth, 1558-1603 --  Sources.",1
Origen --  Early works to 1800.,1
Sacraments --  Church of England,1
 --  Early works to 1800.,1
"James, --  I, --  King of England --  Early works to 1800.",1
Allegiance --  Religious aspects --  Church of England --  Early works to 1800.,1
England and Wales. --  Army. --  Royal Artillery Company of London --  Early works to 1800.,1
Shipwrecks --  Saint Lucia --  Early works to 1800.,1
"Darnley, Henry Stuart, --  Lord, 1545-1567.",1
Love in literature.,1
Bible. --  O.T. --  Meditations.,1
Pygmies.,1
Ireland --  Anecdotes.,1
Ireland --  History --  Anecdotes.,1
"Camden, William, 1551-1623.",1
"Bible. --  N.T. --  Timothy, 2nd, II, 3 --  Criticism, interpretation, etc.",1
"Bible. --  N.T. --  Timothy, 2nd, II, 3 --  Commentaries.",1
East India Company --  Registers.,1
"Tryon, Thomas, 1634-1703. --  Way to health, long life, and happiness.",1
Vegetarianism --  Religious aspects --  Christianity.,1
Bible. --  O.T. --  Leviticus --  Commentaries --  Early works to 1800.,1
Bible. --  O.T. --  Numbers --  Commentaries --  Early works to 1800.,1
Bible. --  O.T. --  Deuteronomy --  Commentaries --  Early works to 1800.,1
"Cleaveland, --  Lieutenant-Colonel --  Early works to 1800.",1
Great Britain --  Kings and rulers --  Biography --  Early works to 1800.,1
Great Britain --  Queens --  Biography --  Early works to 1800.,1
Protestants --  England.,1
Political parties --  England --  Controversial literature --  Early works to 1800.,1
"Crook, John, 1617-1699 --  Early works to 1800.",1
Trolling (Fishing) --  England --  Early works to 1800.,1
Rivers --  England.,1
English literature --  Translations from Latin.,1
"Colledge, Stephen, 1635?-1681 --  Early works to 1800.",1
Tin --  Prices --  England --  Cornwall.,1
"Pope, Walter, d. 1714 --  The Catholick ballad: or An invitation to popery --  Early works to 1800.",1
"Bates, Randall, d. 1613.",1
"Waller, William, --  Sir, d. 1699 --  Early works to 1800.",1
"Peyton, Robert, --  Sir --  Early works to 1800.",1
Wine --  Commerce --  Early works to 1800.,1
"Brown, Thomas, 1663-1704. --  Satyr upon the French king --  Early works to 1800.",1
"Simson, Habby.",1
"Bible. --  O.T. --  Psalms CI, 1 --  Sermons --  Early works to 1800.",1
Church of England. --  Thirty-nine Articles --  Controversial literature.,1
England and Wales. --  Privy Council --  Portraits.,1
"Thomas, --  à Becket, Saint, 1118?-1170.",1
"Great Britain --  History --  Henry II, 1154-1189 --  Early works to 1800.",1
Virginity --  Early works to 1800.,1
"Bible. --  N.T. --  Luke I, 14-27 --  Commentaries --  Early works to 1800.",1
"Bible. --  N.T. --  Luke XIX, 41-44 --  Early works to 1800.",1
Bible. --  O.T. --  Psalms XIX --  Commentaries --  Early works to 1800.,1
"Venerable English College (Rome, Italy) --  Early works to 1800.",1
Plague --  Government policy --  Early works to 1800.,1
Aristotle --  Early works to 1800.,1
"Huntingdon, Elizabeth Hastings, --  countess of, 1586-1633.",1
"Bernard, --  of Clairvaux, Saint, 1090 or 91-1153 --  Early works to 1800.",1
Fathers of the church --  Popular works --  Early works to 1800.,1
"St. Paul's Cathedral (London, England) --  History --  Early works to 1800.",1
"Joan, --  Legendary Pope --  Early works to 1800.",1
"Bellarmino, Roberto Francesco Romolo, --  Saint, 1542-1621. --  De Romano pontifico --  Controversial literature.",1
Europe --  Nobility --  Early works to 1800.,1
Unjust judge (Parable) --  Sermons.,1
"Elton, Edward, d. 1624. --  Gods holy mind touching matters morall --  Early works to 1800.",1
"Crompton, William, 1599?-1642. --  Saint Austins religion --  Early works to 1800.",1
"Smith, Richard, 1566-1655.",1
"Everard, Thomas, 1560-1633.",1
"Montagu, Richard, 1577-1641 --  Controversial literature --  Early works to 1800.",1
"Montagu, Richard, 1577-1641. --  Appello Caesarem --  Early works to 1800.",1
Arminianism --  Controversial literature --  Controversial literature --  Early works to 1800.,1
"A. C. --  Answer to a pamphlet, intituled: The Fisher catched in his owne net --  Controversial literature --  Early works to 1800.",1
"Sweet, John, 1570-1632. --  Defence of the Appendix --  Controversial literature --  Early works to 1800.",1
"White, Francis, 1564?-1638.",1
Lord's Supper --  Real presence --  Controversial literature.,1
Bible. --  N.T. --  2 Peter --  Commentaries.,1
"Drew, John, d. 1614 --  Sermons.",1
Vocal duets with instrumental ensemble.,1
Viols --  Early works to 1800.,1
Dance --  Religious aspects --  Early works to 1800.,1
"Fetherstone, Maria --  Early works to 1800.",1
"Fian, John, d. 1591 --  Early works to 1800.",1
"Maihew, Edward, 1570-1625. --  Treatise of the groundes of the old and newe religion --  Early works to 1800.",1
"Higgons, Theophilus, 1578?-1659. --  First motive of T.H. Maister of Arts, and lately minister, to suspect the integrity of his religion --  Controversial literature --  Early works to 1800.",1
"Anderton, Lawrence. --  Apologie of the Romane Church --  Controversial literature --  Early works to 1800.",1
"First part of Protestants proofes, for Catholikes religion and recusancy --  Controversial literature --  Early works to 1800.",1
Sainte Ligue (1576-1593) --  Controversial literature.,1
"Milner, Anne.",1
"Lane, John, d. 1605.",1
"White, Francis, 1564?-1638. --  Replie to Jesuit Fishers answere to certain questions propounded by King James.",1
"Fitz, John, --  Sir, d. 1605 --  Death and burial --  Early works to 1800.",1
Pirates --  Sermons --  Early works to 1800.,1
"Rous, Anthony, --  Sir, d. 1622 --  Sermons.",1
"Bacon, Francis, 1561-1626. --  Letter written out of England to an English gentleman remaining at Padua.",1
"Collins, Samuel, 1619-1670. --  Epphata to F.T. --  Controversial literature --  Early works to 1800.",1
"Andrewes, Lancelot, 1555-1626. --  Responsio ad apologiam Cardinalis Bellarmini, quam nuper edidit contra praefationem monitoriam.",1
"Mason, Francis, 1566?-1621. --  Of the consecration of the bishops in the Church of England.",1
"Rider, John, 1562-1632. --  Friendly caveat to Irelands Catholicks.",1
"Rider, John, 1562-1632. --  Rescript.",1
"Nieuport, Battle of, 1600 --  Early works to 1800.",1
"Lambe, William, 1495-1580.",1
Fatih --  Early works to 1800.,1
"Flower, Margaret, d. 1618 --  Early works to 1800.",1
"Flower, Philippa, d. 1618 --  Early works to 1800.",1
"Chillingworth, William, 1602-1644. --  Religion of Protestants a safe way to salvation.",1
"Crashaw, William, 1572-1626. --  Sermon preached at the Crosse, Feb. xiiii. 1607.",1
"Crashaw, William, 1572-1626. --  Jesuites gospel.",1
"Lynde, Humphrey, --  Sir. --  Via tuta.",1
"Hoby, Edward, --  Sir, 1560-1617. --  Counter-snarle for Ishmael Rabshacheh.",1
"Foster, William, 1591-1643. --  Hoplocrisma spongus --  Controversial literature --  Early works to 1800.",1
Lenten sermons --  Early works to 1800.,1
"Sermons, Spanish --  Early works to 1800.",1
"Forbes, Patrick, 1564-1635.",1
"Glover, Anne, --  Lady, d. 1608.",1
Bible. --  N.T --  Liturgical use --  Early works to 1800.,1
Avarice --  Sermons.,1
"L'Écluse, Jean de. --  Advertisement to everie godly reader of Mr. Thomas Brithsman his book.",1
Prophane schisme of the Brownists.,1
"Hamilton, John, fl. 1568-1609.",1
France --  Kings and rulers --  Early works to 1800.,1
