id,title,authors,publisher,pubplace,date,subject_heading
A23268,"Austins Vrania, or, The heauenly muse in a poem full of most feeling meditations for the comfort of all soules, at all times: by S.A. B. of Arts of Ex. Colledge in Oxford.","Austin, Samuel, b. 1605 or 6.",Printed by F elix K ingston for Robert Allot and Henry Seile,London,1629,
A20836,Poems: by Michaell Draiton Esquire,"Drayton, Michael, 1563-1631.",Printed by Valentine Simmes for N Ling,London,1605,
A29149,"Several poems compiled with great variety of wit and learning, full of delight wherein especially is contained a compleat discourse, and description of the four elements, constitutions, ages of man, seasons of the year, together with an exact epitome of the three by a gentlewoman in New-England.","Bradstreet, Anne, 1612?-1672.",Printed by John Foster,Boston,1678,
A27257,"Poems, divine and humane by Thomas Beedome.","Beedome, Thomas, d. 1641?; Glapthorne, Henry.",Printed by E P for Iohn Sweeting and are to be sold at his shop,London,1641,
A28578,"Latine songs with their English, and poems by Henry Bold ... ; collected and perfected by Captain William Bold.","Bold, Henry, 1627-1683.; Bold, William.",Printed for John Eglesfield,London,1685,
A27387,"Theophila, or, Loves sacrifice a divine poem / written by E.B., Esq., several parts thereof set to fit aires by Mr. J. Jenkins.","Benlowes, Edward, 1603?-1676.; Ross, Alexander, 1591-1654.; Collier, Jeremy, 1650-1726.",Printed by R N sold by Henry Seile and Humphrey Moseley,London,1652,
A26293,"Lyric poems, made in imitation of the Italians of which, many are translations from other languages / by Philip Ayres, Esq.","Ayres, Philip, 1638-1712.",Printed by J M for Jos Knight and F Saunders,London,1687,
A29621,"Rump, or, An exact collection of the choycest poems and songs relating to the late times by the most eminent wits from anno 1639 to anno 1661.","Brome, Alexander, 1620-1666.",Printed for Henry Brome and Henry Marsh,London,1662,
A25961,Poems written by Henry Lord Arundel of Warder and Count of the Sacred Roman Cmpire [sic].,"Arundell of Wardour, Henry Arundell, Baron, 1606?-1694.",s n,London,1679,
A20831,"The Muses Elizium lately discouered, by a new way ouer Parnassus. The passages therein, being the subiect of ten sundry nymphalls, leading three diuine poemes, Noahs floud. Moses, his birth and miracles. David and Golia. By Michael Drayton Esquire.","Drayton, Michael, 1563-1631. Moyses in a map of his miracles. aut; Drayton, Michael, 1563-1631.",Printed by Thomas Harper for Iohn Waterson and are to be sold at the signe of the Crowne in Pauls Church yard,London,1630,
A20878,"Poems: by VVilliam Drummond, of Hawthorne-denne","Drummond, William, 1585-1649.",Printed by Andro Hart,Edinburgh,1616,
A28579,"Poems lyrique, macaronique, heroique, &c. by Henry Bold ...","Bold, Henry, 1627-1683.",Printed for Henry Brome,London,1664,
A73721,"Jocabella, or a cabinet of conceits. Whereunto are added epigrams and other poems, by R. C.","Chamberlain, Robert, b. 1607.",printed by R Hodgkinson for Daniel Frere and are to be sold at the signe of the red Bu in Little Brittain,London,1640,
A44820,Agathocles the Sicilian usurper· A poem·,"Hoy, Thomas, 1659-1718?",printed for J C and are to be sold by Walter Davis in Amen Corner,London,1683,
